mileage,make,model,fuel,gear,offerType,price,hp,year,price_log,car_age,pred,residual,abs_error
17762,Skoda,Kodiaq,Diesel,Automatic,Used,38450,"190,0",2019,"10,55711397493379",3,"10,405607682596276","0,15150629233751367","0,15150629233751367"
98000,Volkswagen,Golf Variant,Gasoline,Manual,Used,10600,"140,0",2014,"9,268609280100158",8,"9,215449472625941","0,053159807474216336","0,053159807474216336"
5,Opel,Grandland X,Gasoline,Automatic,Pre-registered,30470,"181,0",2021,"10,324497871979755",1,"10,427064561138913","-0,10256668915915768","0,10256668915915768"
98121,Skoda,Superb,Gasoline,Manual,Used,12990,"160,0",2013,"9,471935109664646",9,"9,371074969674597","0,10086013999004884","0,10086013999004884"
69024,Opel,Adam,Gasoline,Manual,Used,9490,"69,0",2018,"9,157993891603974",4,"9,01744819949272","0,1405456921112549","0,1405456921112549"
69000,Ford,Focus,Diesel,Automatic,Used,9850,"163,0",2014,"9,195226734166134",8,"9,458777392569305","-0,2635506584031706","0,2635506584031706"
270000,Volkswagen,Golf Variant,Diesel,Manual,Used,5300,"105,0",2011,"8,575462099540212",11,"8,635150289574401","-0,05968819003418879","0,05968819003418879"
139000,Ford,Fiesta,Diesel,Manual,Used,4990,"90,0",2011,"8,515191188745565",11,"8,653526412783414","-0,13833522403784926","0,13833522403784926"
23970,Volkswagen,Passat Variant,Diesel,Manual,Used,18950,"150,0",2017,"9,849559210510572",5,"9,947726305822183","-0,09816709531161116","0,09816709531161116"
111000,Volkswagen,T5 Multivan,Diesel,Manual,Used,22999,"140,0",2011,"10,043206015705211",11,"9,167082190008903","0,8761238256963075","0,8761238256963075"
